Nome,Autor,Editora,ISBN,Ano-Compra,Lido
1984,George Orwell,Clube de Literatura Clássica,,2023,Sim
Coração das Trevas,Joseph Conrad,Clube de Literatura Clássica,,2023,Abandonado
Contos do Grotesco e do Arabesco,Edgar Allan Poe,Clube de Literatura Clássica,,2023,Abandonado
Don Juan,Lord Byron,Clube de Literatura Clássica,978-658-7036-75-5,2023,Não
O Finado Mattia Pascal,Luigi Pirandello,Clube de Literatura Clássica,978-65-87036-76-2,2023,Não
A Conciência de Zeno,Italo Svevo,Clube de Literatura Clássica,,2023,Não
Fábulas de Esopo,Esopo,Clube de Literatura Clássica,978-65-87036-88-5,2023,Não
Ilusões Perdidas,Honoré de Balzac,Clube de Literatura Clássica,978-65-87036-74-8,2023,Não
Jerusalem Libertada,Torquato Tasso,Clube de Literatura Clássica,978-65-87036-33-5,2023,Não
Saga de Njall,Anônimo,Clube de Literatura Clássica,,2023,Não
Um Diário do Ano da Peste,Daniel Defoe,Clube de Literatura Clássica,,2023,Não
Madame Bovary,Gustave Flaubert,Clube de Literatura Clássica,978-65-87036-71-7,2023,Não
Os Trabalhadores do Mar,Victor Hugo,Clube de Literatura Clássica,978-65-87036-38-0,2023,Não
Crime e Castigo,Fiódor Dostoiévski,Clube de Literatura Clássica,978-65-87036-14-4,2023,Não
Irmãos Karamazov,Fiódor Dostoiévski,Clube de Literatura Clássica,,2023,Não
Pais e Filhos,Ivan Turguêniev,Clube de Literatura Clássica,978-65-87036-82-3,2023,Não
Memorias Póstumas de Brás Cubas,Machado de Assis,Clube de Literatura Clássica,978-65-87036-64-9,2023,Não
Dom Casmurro,Machado de Assis,Clube de Literatura Clássica,978-65-87036-03-8,2023,Sim
Caetés,Graciliano Ramos,Clube de Literatura Clássica,,2023,Não
São Bernardo,Graciliano Ramos,Clube de Literatura Clássica,,2023,Não
Angústia*,Graciliano Ramos,Clube de Literatura Clássica,,2023,Não
Vidas Secas,Graciliano Ramos,Clube de Literatura Clássica,,2023,Sim
Viagem ao Redor do meu Quarto,Xavier de Maistre,Clube de Literatura Clássica,,2023,Não
Contos do Casmurro,Machado de Assis,Clube de Literatura Clássica,,2023,Não
Saga de Gunnlaugr Lingua-de-Serpente,Anônimo,Clube de Literatura Clássica,,2023,Não
Vida de Esopo,Anônimo,Clube de Literatura Clássica,,2023,Não
A Conciência de Svevo,Italo Svevo,Clube de Literatura Clássica,,2023,Não
Diário de um Homem Superfluo,Ivan Turguêniev,Clube de Literatura Clássica,,2023,Não
