Nome,Autor,Data de Leitura,Status na Estante,Detalhe,Formato_ou_Plataforma,Emprestado_de,Origem_ou_Instituição
"Merlin, o Mágico",Anônimo,35796,Sumiu,,,,
Patolino,,35796,Sumiu,,,,
A Princesa e a Ervilha,Sérgio Luiz de Oliveira Silva,36161,Sumiu,,,,
Mini Livro Jó,,36161,Sumiu,,,,
Mini Livro Pastor,,36161,Sumiu,,,,
"Bisa Bia, Bisa Bel",Ana Maria Machado,37257,Sumiu,,,,
Contos de Fadas Capa vermelha,,37257,Sumiu,,,,
"Carta errante, avó atrapalhada, menina aniversariante",Mirna Pinsky,37347,Estante,,,,
Harry Potter e a Pedra Filosofal,J. K. Rowling,37987,Emprestado,Plínio,,Plínio,
Harry Potter e a Câmara Secreta,J. K. Rowling,37987,Emprestado,Plínio,,Plínio,
Um rio que vem da Grécia,Cláudio Moreno,38353,Doado,,,,
Harry Potter e o Prisioneiro de Azkaban,J. K. Rowling,38353,Emprestado,Plínio,,Plínio,
Brida,Paulo Coelho,38353,Emprestado,Larissa,,Larissa,
Ciclo de Avalon - As Brumas de Avalon - A Senhora da Magia,Marion Zimmer Bradley,38718,Emprestado,Larissa,,Larissa,
Ciclo de Avalon - As Brumas de Avalon - A Grande Rainha,Marion Zimmer Bradley,38718,Emprestado,Larissa,,Larissa,
Harry Potter e o Cálice de Fogo,J. K. Rowling,39083,Emprestado,Plínio,,Plínio,
Harry Potter e a Ordem da Fênix,J. K. Rowling,39083,Emprestado,Plínio,,Plínio,
Harry Potter e o Enigma do Príncipe,J. K. Rowling,39083,Emprestado,Plínio,,Plínio,
Ciclo de Avalon - As Brumas de Avalon - O Prisioneiro da Árvore,Marion Zimmer Bradley,39083,Emprestado,Larissa,,Larissa,
Ciclo de Avalon - As Brumas de Avalon - O Gamo-Rei,Marion Zimmer Bradley,39083,Emprestado,Larissa,,Larissa,
Harry Potter e as Relíquias da Morte,J. K. Rowling,39448,Emprestado,Plínio,,Plínio,
As Primaveras (1867),Casimiro Jose Marques de Abreu,39448,Doado,,,,
Ramsés: O filho da luz,Christian Jacq,39448,Emprestado,Plínio,,Plínio,
Ramsés: O Templo de Milhões de Anos,Christian Jacq,39448,Emprestado,Plínio,,Plínio,
Mulheres que mudaram o mundo,Gabriel Chalita,39448,Doado,,,,
Sutras Sagradas,Masaharu Taniguchi,39448,Estante,,,,
"""Shinsokan"" e outras orações",Masaharu Taniguchi,39448,Estante,,,,
O Menino do Dedo Verde,Maurice Druon,39448,Estante,,,,
Pela porta do coração,Regina Coeli Rennó,39448,Estante,,,,
Só é gordo quem quer,Uchôa Junior,39448,A venda,,,,
Pelas Portas Do Coração,Zíbia Gasparetto,39448,Estante,,,,
Laços Eternos,Zíbia Gasparetto,39448,Biblioteca,Irradiação,,,Irradiação
O Amor Venceu,Zíbia Gasparetto,39448,Biblioteca,Irradiação,,,Irradiação
Entre o Amor e a Guerra,Zíbia Gasparetto,39448,Biblioteca,Irradiação,,,Irradiação
A Casa,André Vianco,39814,Emprestado,Plínio,,Plínio,
O Alquimista,Paulo Coelho,39814,Estante,,,,
A Cabana,William P. Young,39814,Emprestado,Plínio,,Plínio,
Ciclo de Avalon - A Sacerdotisa de Avalon,Marion Zimmer Bradley,40179,Biblioteca,IFG,,,IFG
O Livro dos Jovens,Masaharu Taniguchi,40179,Doado,,,,
"Educaçao Fisica Cuida Do Corpo...E ""Mente """,João Paulo S. Medina,40179,Doado,,,,
Aleph,Paulo Coelho,40179,Doado,,,,
As Valkirias,Paulo Coelho,40179,Biblioteca,UEG,,,UEG
Terapia do Trabalho,Daniel Grippo,40909,Doado,,,,
O Chá do Amor,Jennifer Donnelly,40909,Emprestado,Amanda,,Amanda,
Vampiratas: Demônios do Oceano,Justin Somper,40909,Estante,,,,
O que é Seicho-No-Ie,Masaharu Taniguchi,40909,Doado,,,,
O Diário de um Mago,Paulo Coelho,40909,Biblioteca,UEG,,,UEG
Se Abrindo Para Vida,Zíbia Gasparetto,40909,Emprestado,Helena,,Helena,
Entrevista Com o Vampiro,Anne Rice,41275,Emprestado,Larissa,,Larissa,
A princesa à espera,Meg Cabot,41275,Emprestado,Larissa,,Larissa,
A Princesa Apaixonada,Meg Cabot,41275,Emprestado,Larissa,,Larissa,
A Princesa Sob os Refletores,Meg Cabot,41275,Emprestado,Larissa,,Larissa,
A Princesa de Rosa-Shocking,Meg Cabot,41275,Emprestado,Larissa,,Larissa,
O Diário da Princesa,Meg Cabot,41275,Emprestado,Larissa,,Larissa,
A princesa em treinamento,Meg Cabot,41275,Emprestado,Larissa,,Larissa,
Princesa Mia,Meg Cabot,41275,Emprestado,Larissa,,Larissa,
A Princesa no Limite,Meg Cabot,41275,Emprestado,Larissa,,Larissa,
A princesa na balada,Meg Cabot,41275,Emprestado,Larissa,,Larissa,
Princesa para sempre,Meg Cabot,41275,Emprestado,Larissa,,Larissa,
O Nome do Vento,Patrick Rothfuss,41275,Estante,,,,
As Crônicas de Nárnia 1 - O Sobrinho do mago,C. S. Lewis,41275,Emprestado,Amanda,,Amanda,
"As Crônicas de Nárnia 2 - O Leão, a Feiticeira e o Guarda-roupas",C. S. Lewis,41275,Emprestado,Amanda,,Amanda,
"Pai Rico, Pai Pobre",Robert T. Kiyosaki,41640,Doado,,,,
As Crônicas de Nárnia 3 - O Cavalo e seu Menino,C. S. Lewis,41640,Emprestado,Amanda,,Amanda,
As Crônicas de Nárnia 4 - Príncipe Caspian,C. S. Lewis,41640,Emprestado,Amanda,,Amanda,
Vampiratas: Demonios del Oceano,Justin Somper,41640,Estante,,,,
Mujercitas,Louisa May Alcott,41640,Emprestado,Prof Uruguai,,Prof Uruguai,
Marley e eu,John Grogan,42005,Estante,,,,
Elantris,Brandon Sanderson,42005,Emprestado,Amanda,,Amanda,
Eu sou o mensageiro,Markus Zusak,42005,Emprestado,Larissa,,Larissa,
O Deus e o Imperador,Sam Meekings,42005,Estante,,,,
Crônicas da Galiléia: Histórias do Tempo de Jesus,Ângelo Dias,42370,Estante,,,,
o modo feliz de viver seicho no ie Ed. 2010,Seicho Taniguchi,42370,Doado,,,,
Memórias de uma Costureira,Terezinha de Jseus Almeida,42370,Estante,,,,
Desventuras em Série 3 - O Lago das Sanguessugas,Lemony Snicket,42736,Emprestado,Plínio,,Plínio,
Pollyanna,Eleanor H. Porter,42736,Estante,,,,
Desventuras em Série 2 - A Sala dos Répteis,Lemony Snicket,42736,Emprestado,Plínio,,Plínio,
